cod_municipio;cod_unico_endereco;num_quadra;nom_logradouro;num_endereco;nom_logradouro_adjacente;dim_testada;dim_profundidade
4104501;4104501.124524-0;4104501.124524-0; RUA CARIRIS ;1222;;10;20
4104501;4104501.124532-0;4104501.124532-0; AV. INDEPENDENCIA ;2099;;10;20
4104501;4104501.124541-1;4104501.124541-1; RUA PARAIBA;928;;10;20
4104501;4104501.124559-1;4104501.124559-1; RUA PARAIBA;928;;10;20
4104501;4104501.124559-2;4104501.124559-2; RUA PARAIBA;928;;10;20
4104501;4104501.124567-1;4104501.124567-1; RUA PARAIBA;928;;10;20
4104501;4104501.124567-2;4104501.124567-2; RUA PARAIBA;928;;10;20
4104501;4104501.124575-1;4104501.124575-1; RUA PADRE CIRILO;1669;;10;20
4104501;4104501.124575-2;4104501.124575-2; RUA PADRE CIRILO;1669;;10;20
4104501;4104501.124583-1;4104501.124583-1; RUA ALDO BIGATON;;;10;20
4104501;4104501.124583-2;4104501.124583-2; RUA ALDO BIGATON;;;10;20
4104501;4104501.124583-3;4104501.124583-3; RUA ALDO BIGATON;;;10;20
4104501;4104501.12459-0;4104501.12459-0; RUA AIMORES;1065;;10;20
4104501;4104501.124591-0;4104501.124591-0; RUA ALDO BIGATON;;;10;20
4104501;4104501.124613-1;4104501.124613-1; RUA GUARANY;966;;10;20
4104501;4104501.124621-0;4104501.124621-0; RUA EDMUNDO MULLER;;;10;20
4104501;4104501.124630-0;4104501.124630-0; RUA ALDO BIGATON;;;10;20
4104501;4104501.124656-1;4104501.124656-1; RUA GUAIRACAS;1595;;10;20
4104501;4104501.124656-2;4104501.124656-2; RUA GUAIRACAS;1595;;10;20
4104501;4104501.12467-1;4104501.12467-1; RUA TAMOIOS ;1008;;10;20
4104501;4104501.124681-2;4104501.124681-2; RUA TAPAJOS;59;;10;20
4104501;4104501.124699-0;4104501.124699-0; RUA TIBIRICA;1120;;10;20
4104501;4104501.124702-0;4104501.124702-0; RUA DR.LEOPOLDO SCHMIDT;479;;10;20
4104501;4104501.124711-0;4104501.124711-0; RUA OTAVIO FRANCISCO DE MATTOS;71;;10;20
4104501;4104501.124729-1;4104501.124729-1; RUA LUIZ GERALDO HOLLEN;1496;;10;20
4104501;4104501.124737-1;4104501.124737-1; AV. INDEPENDENCIA;1132;;10;20
4104501;4104501.124745-1;4104501.124745-1; AV. INDEPENDENCIA;1136;;10;20
4104501;4104501.12475-0;4104501.12475-0; RUA AIMORES;1049;;10;20
4104501;4104501.124753-1;4104501.124753-1; AV. INDEPENDENCIA;852;;10;20
4104501;4104501.124761-1;4104501.124761-1; RUA GUARANY;490;;10;20
4104501;4104501.124770-1;4104501.124770-1; RUA AIMORES;1541;;10;20
4104501;4104501.124788-1;4104501.124788-1; RUA AIMORES;1557;;10;20
4104501;4104501.124796-1;4104501.124796-1; RUA AIMORES;1557;;10;20
4104501;4104501.124800-1;4104501.124800-1; RUA AIMORES;1557;;10;20
4104501;4104501.124818-1;4104501.124818-1; RUA AIMORES;1557;;10;20
4104501;4104501.124826-1;4104501.124826-1; RUA AIMORES;1557;;10;20
4104501;4104501.12483-1;4104501.12483-1; RUA TAMOIOS ;1004;;10;20
4104501;4104501.12483-2;4104501.12483-2; RUA TAMOIOS ;1004;;10;20
4104501;4104501.124834-1;4104501.124834-1; RUA AIMORES;1557;;10;20
4104501;4104501.124842-1;4104501.124842-1; RUA AIMORES;1557;;10;20
4104501;4104501.124851-1;4104501.124851-1; RUA AIMORES;1557;;10;20
4104501;4104501.124869-1;4104501.124869-1; RUA AIMORES;1557;;10;20
4104501;4104501.124877-1;4104501.124877-1; RUA AIMORES;1557;;10;20
4104501;4104501.124885-1;4104501.124885-1; RUA AIMORES;1557;;10;20
4104501;4104501.124893-1;4104501.124893-1; RUA AIMORES;1557;;10;20
4104501;4104501.124907-1;4104501.124907-1; RUA AIMORES;1557;;10;20
4104501;4104501.12491-1;4104501.12491-1; AV. PARANA;1376;;10;20
4104501;4104501.124915-1;4104501.124915-1; RUA AIMORES;1557;;10;20
4104501;4104501.124923-2;4104501.124923-2; RUA TUPINAMBAS;1962;;10;20
4104501;4104501.124923-3;4104501.124923-3; RUA TUPINAMBAS;1962;;10;20
4104501;4104501.124931-1;4104501.124931-1; RUA MINAS GERAIS;1188;;10;20
4104501;4104501.124940-2;4104501.124940-2; RUA TIBIRICA;783;;10;20
4104501;4104501.124958-1;4104501.124958-1; AV. RIO GRANDE DO SUL;4401;;10;20
4104501;4104501.124958-2;4104501.124958-2; AV. RIO GRANDE DO SUL;4401;;10;20
4104501;4104501.124966-1;4104501.124966-1; RUA NILO ADELVINO BERTICELLI;590;;10;20
4104501;4104501.124974-1;4104501.124974-1; AV. INDEPENDENCIA;1131;;10;20
4104501;4104501.124982-1;4104501.124982-1; AV. ESPIRITO SANTO;909;;10;20
4104501;4104501.124991-1;4104501.124991-1; AV. ESPIRITO SANTO;909;;10;20
4104501;4104501.125008-1;4104501.125008-1; RUA AIMORES;1027;;10;20
4104501;4104501.125008-2;4104501.125008-2; RUA AIMORES;1027;;10;20
4104501;4104501.125008-3;4104501.125008-3; RUA AIMORES;1027;;10;20
4104501;4104501.125016-1;4104501.125016-1; AV. BOTUCARIS;391;;10;20
4104501;4104501.125024-1;4104501.125024-1; RUA LUIZ GERALDO HOLLEN;90;;10;20
4104501;4104501.125032-2;4104501.125032-2; RUA LORENO LAGEMANN;1014;;10;20
4104501;4104501.12505-1;4104501.12505-1; RUA AIMORES;1027;;10;20
4104501;4104501.125059-1;4104501.125059-1; RUA MINAS GERAIS;52;;10;20
4104501;4104501.125067-2;4104501.125067-2; RUA MINAS GERAIS;112;;10;20
4104501;4104501.125075-1;4104501.125075-1; RUA PADRE CIRILO;1911;;10;20
